City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Rikitea,PF,81.21,light rain,-23.1203,-134.9692,Pension Maro'i
1,Dingle,PH,84.9,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
2,Puerto Ayora,EC,77.0,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
5,Vaini,TO,80.6,few clouds,-21.2,-175.2,Keleti Beach Resort
6,San Cristobal,VE,77.0,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
13,Hirara,JP,75.2,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
14,Gladstone,AU,86.0,light rain,-23.85,151.25,Highpoint International
15,Touros,BR,77.0,clear sky,-5.1989,-35.4608,INN NEW HORIZON
21,Atuona,PF,79.27,overcast clouds,-9.8,-139.0333,Villa Enata
22,Harper,LR,78.06,light rain,4.375,-7.7169,Screensaver
26,Bairiki,KI,86.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
33,Yulara,AU,86.0,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
36,Thinadhoo,MV,83.61,light rain,0.5333,72.9333,
37,Busselton,AU,78.01,scattered clouds,-33.65,115.3333,Observatory Guest House
38,Souillac,MU,77.0,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
43,Acari,PE,76.89,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
49,Pandan,PH,82.04,overcast clouds,14.0453,124.1694,Bonifacio Lodge
51,Belmonte,BR,77.0,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
60,Kheralu,IN,75.79,clear sky,23.8833,72.6167,Gopal lodg
70,Avarua,CK,80.6,moderate rain,-21.2078,-159.775,Paradise Inn
74,Ambon,ID,89.6,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
77,Jibuti,DJ,75.2,haze,11.5,42.5,Orchid Main Camp Goubet
88,Manta,EC,75.2,moderate rain,-0.95,-80.7333,Balandra Hotel
89,Bathsheba,BB,77.0,few clouds,13.2167,-59.5167,Atlantis Hotel
90,Bambous Virieux,MU,77.0,scattered clouds,-20.3428,57.7575,Casa Tia Villa
93,Sinnamary,GF,77.04,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
94,Yeppoon,AU,89.6,few clouds,-23.1333,150.7333,Villa Mar Colina
95,Kilindoni,TZ,80.76,moderate rain,-7.9139,39.6668,Bustani B&B
101,Qui Nhon,VN,78.64,scattered clouds,13.7667,109.2333,Hoang Yen Canary Hotel
103,Faanui,PF,83.34,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
105,Neiafu,TO,82.4,scattered clouds,-18.65,-173.9833,Mystic Sands
107,San Policarpo,PH,81.36,broken clouds,12.1791,125.5072,JM Lodge
108,Meulaboh,ID,83.26,clear sky,4.1363,96.1285,Kost Pria
109,Uribia,CO,78.35,overcast clouds,11.7139,-72.266,Hotel Uribia
112,Mahebourg,MU,77.0,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
115,Carutapera,BR,76.32,overcast clouds,-1.195,-46.02,Lidera
117,Namatanai,PG,84.81,overcast clouds,-3.6667,152.4333,Namatanai Hotel
127,Carnarvon,AU,82.98,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
129,Saint-Leu,RE,77.0,clear sky,-21.15,55.2833,La Caz Oceane
132,Cayenne,GF,80.6,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
