City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tura,IN,2021-03-04 03:16:25,25.5198,90.2201,77.86,20,0,3.49
1,Torbay,CA,2021-03-04 03:19:23,47.6666,-52.7314,24.01,93,90,21.85
2,Pacific Grove,US,2021-03-04 03:21:37,36.6177,-121.9166,52.0,82,40,5.75
3,Puerto Ayora,EC,2021-03-04 03:19:15,-0.7393,-90.3518,78.01,95,64,3.27
4,Butaritari,KI,2021-03-04 03:19:16,3.0707,172.7902,81.48,82,27,17.72
5,Bluff,NZ,2021-03-04 03:19:22,-46.6,168.3333,64.0,53,29,3.0
6,Faanui,PF,2021-03-04 03:19:50,-16.4833,-151.75,82.85,73,100,7.81
7,Albany,US,2021-03-04 03:15:44,42.6001,-73.9662,37.4,69,90,8.05
8,Kodiak,US,2021-03-04 03:19:20,57.79,-152.4072,35.6,55,1,13.8
9,Atuona,PF,2021-03-04 03:17:54,-9.8,-139.0333,80.06,72,56,8.5
10,Jamestown,US,2021-03-04 03:19:18,42.097,-79.2353,35.01,98,90,5.88
11,Bredasdorp,ZA,2021-03-04 03:20:09,-34.5322,20.0403,66.2,94,48,3.44
12,Port Alfred,ZA,2021-03-04 03:17:18,-33.5906,26.891,69.01,93,82,1.01
13,Carnarvon,AU,2021-03-04 03:19:22,-24.8667,113.6333,80.6,74,75,11.5
14,Rikitea,PF,2021-03-04 03:21:45,-23.1203,-134.9692,80.15,79,87,7.61
15,Tulun,RU,2021-03-04 03:21:45,54.5611,100.5792,-8.07,88,92,4.92
16,Sorgun,TR,2021-03-04 03:21:46,39.8101,35.186,28.15,90,19,6.44
17,Hot Springs,US,2021-03-04 03:21:46,34.5037,-93.0552,48.2,61,1,3.51
18,Mataura,NZ,2021-03-04 03:21:47,-46.1927,168.8643,63.0,56,10,5.99
19,Busselton,AU,2021-03-04 03:19:23,-33.65,115.3333,77.65,67,44,9.26
20,Lafia,NG,2021-03-04 03:21:47,8.4833,8.5167,74.77,20,1,3.31
21,Hasaki,JP,2021-03-04 03:17:07,35.7333,140.8333,55.99,58,75,8.05
22,Iqaluit,CA,2021-03-04 03:17:57,63.7506,-68.5145,-4.0,77,90,28.77
23,College,US,2021-03-04 03:19:56,64.8569,-147.8028,1.4,71,40,3.44
24,Cabo San Lucas,MX,2021-03-04 03:15:38,22.8909,-109.9124,69.8,49,40,3.44
25,Grindavik,IS,2021-03-04 03:14:22,63.8424,-22.4338,37.4,100,75,17.27
26,Bethel,US,2021-03-04 03:19:54,41.3712,-73.414,37.0,69,1,5.75
27,Tasiilaq,GL,2021-03-04 03:19:38,65.6145,-37.6368,30.2,64,90,13.8
28,Lazarev,RU,2021-03-04 03:21:26,52.225,141.5131,19.72,93,99,9.44
29,Haikou,CN,2021-03-04 03:21:49,20.0458,110.3417,78.8,73,40,8.95
30,Rochegda,RU,2021-03-04 03:21:49,62.8,43.25,9.61,96,91,4.74
31,Bendigo,AU,2021-03-04 03:21:50,-36.7667,144.2833,76.51,32,0,10.2
32,Larsnes,NO,2021-03-04 03:21:50,62.2028,5.5773,33.01,85,75,8.01
33,Cabedelo,BR,2021-03-04 03:20:57,-6.9811,-34.8339,75.2,100,20,5.75
34,Cidreira,BR,2021-03-04 03:19:27,-30.1811,-50.2056,75.18,91,80,3.04
35,Wabag,PG,2021-03-04 03:21:51,-5.4781,143.7021,65.97,81,86,3.87
36,Hermanus,ZA,2021-03-04 03:19:15,-34.4187,19.2345,66.0,93,100,9.53
37,Kyzyl,RU,2021-03-04 03:21:51,51.7,94.45,10.62,77,44,1.54
38,Hobart,AU,2021-03-04 03:18:31,-42.8794,147.3294,69.8,28,0,17.27
39,Punta De Bombon,PE,2021-03-04 03:21:52,-17.1717,-71.7931,72.07,81,100,3.69
40,Qaanaaq,GL,2021-03-04 03:21:52,77.484,-69.3632,-22.45,79,53,10.63
41,Ginda,IN,2021-03-04 03:21:52,30.6945,78.4932,62.6,51,0,3.62
